source,time,latitude,longitude,depth_km,magnitude,station_id,parameter,value
gps,2005-02-25 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.009892
solar,2005-02-25 00:00:00.000,,,,,,f107_observed,78.2
solar,2005-02-25 00:00:00.000,,,,,,sunspot_number,12.0
tidal_ephemeris,2005-02-25 00:00:00.000,,,,,,tidal_potential,-0.83052
tidal_ephemeris,2005-02-25 00:00:00.000,,,,,,lunar_phase,0.52677
geomagnetic,2005-02-26 00:00:00.000,,,,,,ap,10.0
geomagnetic,2005-02-26 00:00:00.000,,,,,,kp,2.45825
gps,2005-02-26 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.045839
gps,2005-02-26 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.421003
gps,2005-02-26 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.548448
gps,2005-02-26 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.615586
gps,2005-02-26 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.832361
gps,2005-02-26 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.008616
solar,2005-02-26 00:00:00.000,,,,,,f107_observed,76.6
solar,2005-02-26 00:00:00.000,,,,,,sunspot_number,18.0
tidal_ephemeris,2005-02-26 00:00:00.000,,,,,,tidal_potential,-0.65352
tidal_ephemeris,2005-02-26 00:00:00.000,,,,,,lunar_phase,0.555
seismic,2005-02-26 01:45:34.980,36.5795,-89.6,9.61,1.6,,,
seismic,2005-02-26 20:41:39.710,36.4953333,-89.5565,7.67,1.4,,,
geomagnetic,2005-02-27 00:00:00.000,,,,,,ap,8.0
geomagnetic,2005-02-27 00:00:00.000,,,,,,kp,1.79175
gps,2005-02-27 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.044888
gps,2005-02-27 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.421608
gps,2005-02-27 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.547633
gps,2005-02-27 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.614242
gps,2005-02-27 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.835136
gps,2005-02-27 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.01323
solar,2005-02-27 00:00:00.000,,,,,,f107_observed,75.8
solar,2005-02-27 00:00:00.000,,,,,,sunspot_number,12.0
tidal_ephemeris,2005-02-27 00:00:00.000,,,,,,tidal_potential,-0.45697
tidal_ephemeris,2005-02-27 00:00:00.000,,,,,,lunar_phase,0.58338
geomagnetic,2005-02-28 00:00:00.000,,,,,,ap,13.0
geomagnetic,2005-02-28 00:00:00.000,,,,,,kp,2.708375
gps,2005-02-28 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.04521
gps,2005-02-28 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.421928
gps,2005-02-28 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.548328
gps,2005-02-28 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.614095
gps,2005-02-28 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.837888
gps,2005-02-28 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.012542
solar,2005-02-28 00:00:00.000,,,,,,f107_observed,75.0
solar,2005-02-28 00:00:00.000,,,,,,sunspot_number,10.0
tidal_ephemeris,2005-02-28 00:00:00.000,,,,,,tidal_potential,-0.2415
tidal_ephemeris,2005-02-28 00:00:00.000,,,,,,lunar_phase,0.6126
geomagnetic,2005-03-01 00:00:00.000,,,,,,ap,11.0
geomagnetic,2005-03-01 00:00:00.000,,,,,,kp,2.458125
gps,2005-03-01 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.046347
gps,2005-03-01 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.420354
gps,2005-03-01 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.550239
gps,2005-03-01 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.615798
gps,2005-03-01 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.833794
gps,2005-03-01 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.011661
solar,2005-03-01 00:00:00.000,,,,,,f107_observed,73.7
solar,2005-03-01 00:00:00.000,,,,,,sunspot_number,0.0
tidal_ephemeris,2005-03-01 00:00:00.000,,,,,,tidal_potential,-0.00712
tidal_ephemeris,2005-03-01 00:00:00.000,,,,,,lunar_phase,0.64341
geomagnetic,2005-03-02 00:00:00.000,,,,,,ap,14.0
geomagnetic,2005-03-02 00:00:00.000,,,,,,kp,2.7498750000000003
gps,2005-03-02 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.046266
gps,2005-03-02 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.421513
gps,2005-03-02 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.548529
gps,2005-03-02 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.614552
gps,2005-03-02 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.832869
gps,2005-03-02 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.008192
solar,2005-03-02 00:00:00.000,,,,,,f107_observed,74.6
solar,2005-03-02 00:00:00.000,,,,,,sunspot_number,13.0
tidal_ephemeris,2005-03-02 00:00:00.000,,,,,,tidal_potential,0.24524
tidal_ephemeris,2005-03-02 00:00:00.000,,,,,,lunar_phase,0.67654
seismic,2005-03-02 07:05:33.180,36.2891667,-89.4655,5.27,1.2,,,
seismic,2005-03-02 13:50:06.250,36.5431667,-89.6638333,8.44,1.6,,,
seismic,2005-03-02 13:50:45.320,36.5418333,-89.6618333,8.76,1.4,,,
seismic,2005-03-02 13:51:19.020,36.542,-89.6638333,8.86,1.0,,,
seismic,2005-03-02 19:35:34.550,36.29,-89.5236667,7.39,1.6,,,
geomagnetic,2005-03-03 00:00:00.000,,,,,,ap,4.0
geomagnetic,2005-03-03 00:00:00.000,,,,,,kp,1.08325
gps,2005-03-03 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.047914
gps,2005-03-03 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.419247
gps,2005-03-03 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.549791
gps,2005-03-03 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.616719
gps,2005-03-03 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.835017
gps,2005-03-03 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.010709
solar,2005-03-03 00:00:00.000,,,,,,f107_observed,77.0
solar,2005-03-03 00:00:00.000,,,,,,sunspot_number,15.0
tidal_ephemeris,2005-03-03 00:00:00.000,,,,,,tidal_potential,0.51167
tidal_ephemeris,2005-03-03 00:00:00.000,,,,,,lunar_phase,0.71254
seismic,2005-03-03 01:13:59.780,36.0498333,-89.8231667,8.29,1.9,,,
seismic,2005-03-03 02:22:01.900,45.054,-74.185,11.37,2.64,,,
seismic,2005-03-03 06:00:29.380,36.0495,-89.8226667,7.41,1.8,,,
geomagnetic,2005-03-04 00:00:00.000,,,,,,ap,2.0
geomagnetic,2005-03-04 00:00:00.000,,,,,,kp,0.45825000000000005
gps,2005-03-04 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.047743
gps,2005-03-04 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.419938
gps,2005-03-04 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.547609
gps,2005-03-04 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.61548
gps,2005-03-04 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.837983
gps,2005-03-04 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.014869
solar,2005-03-04 00:00:00.000,,,,,,f107_observed,78.9
solar,2005-03-04 00:00:00.000,,,,,,sunspot_number,13.0
tidal_ephemeris,2005-03-04 00:00:00.000,,,,,,tidal_potential,0.78303
tidal_ephemeris,2005-03-04 00:00:00.000,,,,,,lunar_phase,0.75154
geomagnetic,2005-03-05 00:00:00.000,,,,,,ap,11.0
geomagnetic,2005-03-05 00:00:00.000,,,,,,kp,2.3748750000000003
gps,2005-03-05 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.047505
gps,2005-03-05 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.419508
gps,2005-03-05 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.548746
gps,2005-03-05 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.614823
gps,2005-03-05 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.834143
gps,2005-03-05 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.012679
solar,2005-03-05 00:00:00.000,,,,,,f107_observed,81.2
solar,2005-03-05 00:00:00.000,,,,,,sunspot_number,15.0
tidal_ephemeris,2005-03-05 00:00:00.000,,,,,,tidal_potential,1.04316
tidal_ephemeris,2005-03-05 00:00:00.000,,,,,,lunar_phase,0.79296
seismic,2005-03-05 05:18:20.380,36.589,-89.3615,6.14,1.7,,,
seismic,2005-03-05 06:57:55.350,36.475,-89.5356667,7.05,1.7,,,
geomagnetic,2005-03-06 00:00:00.000,,,,,,ap,37.0
geomagnetic,2005-03-06 00:00:00.000,,,,,,kp,4.416625
gps,2005-03-06 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.047303
gps,2005-03-06 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.420569
gps,2005-03-06 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.548021
gps,2005-03-06 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.61444
gps,2005-03-06 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.83152
gps,2005-03-06 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.009099
solar,2005-03-06 00:00:00.000,,,,,,f107_observed,83.6
solar,2005-03-06 00:00:00.000,,,,,,sunspot_number,16.0
tidal_ephemeris,2005-03-06 00:00:00.000,,,,,,tidal_potential,1.26857
tidal_ephemeris,2005-03-06 00:00:00.000,,,,,,lunar_phase,0.83551
seismic,2005-03-06 00:40:29.960,36.3,-89.4683333,4.68,1.5,,,
seismic,2005-03-06 03:24:50.330,36.5535,-89.61,7.03,1.5,,,
seismic,2005-03-06 06:17:49.000,47.75,-69.73,13.3,4.9,,,
seismic,2005-03-06 11:10:49.550,36.5381667,-89.658,7.98,1.6,,,
geomagnetic,2005-03-07 00:00:00.000,,,,,,ap,40.0
geomagnetic,2005-03-07 00:00:00.000,,,,,,kp,4.625
gps,2005-03-07 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.047577
gps,2005-03-07 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.419289
gps,2005-03-07 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.548833
gps,2005-03-07 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.616016
gps,2005-03-07 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.840275
gps,2005-03-07 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.018943
solar,2005-03-07 00:00:00.000,,,,,,f107_observed,87.0
solar,2005-03-07 00:00:00.000,,,,,,sunspot_number,29.0
tidal_ephemeris,2005-03-07 00:00:00.000,,,,,,tidal_potential,1.43062
tidal_ephemeris,2005-03-07 00:00:00.000,,,,,,lunar_phase,0.8775
geomagnetic,2005-03-08 00:00:00.000,,,,,,ap,29.0
geomagnetic,2005-03-08 00:00:00.000,,,,,,kp,4.0
gps,2005-03-08 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.046786
gps,2005-03-08 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.420053
gps,2005-03-08 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.54733
gps,2005-03-08 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.614165
gps,2005-03-08 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.838661
gps,2005-03-08 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.016763
solar,2005-03-08 00:00:00.000,,,,,,f107_observed,93.5
solar,2005-03-08 00:00:00.000,,,,,,sunspot_number,53.0
tidal_ephemeris,2005-03-08 00:00:00.000,,,,,,tidal_potential,1.50101
tidal_ephemeris,2005-03-08 00:00:00.000,,,,,,lunar_phase,0.91758
geomagnetic,2005-03-09 00:00:00.000,,,,,,ap,25.0
geomagnetic,2005-03-09 00:00:00.000,,,,,,kp,3.7083749999999998
gps,2005-03-09 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.046582
gps,2005-03-09 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.420142
gps,2005-03-09 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.549189
gps,2005-03-09 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.61547
gps,2005-03-09 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.835848
gps,2005-03-09 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.013633
solar,2005-03-09 00:00:00.000,,,,,,f107_observed,99.9
solar,2005-03-09 00:00:00.000,,,,,,sunspot_number,61.0
tidal_ephemeris,2005-03-09 00:00:00.000,,,,,,tidal_potential,1.45947
tidal_ephemeris,2005-03-09 00:00:00.000,,,,,,lunar_phase,0.95512
seismic,2005-03-09 16:05:39.230,36.2913333,-89.5238333,7.59,1.8,,,
geomagnetic,2005-03-10 00:00:00.000,,,,,,ap,14.0
geomagnetic,2005-03-10 00:00:00.000,,,,,,kp,2.833375
gps,2005-03-10 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.047197
gps,2005-03-10 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.419819
gps,2005-03-10 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.548467
gps,2005-03-10 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.614259
gps,2005-03-10 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.838564
gps,2005-03-10 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.015396
solar,2005-03-10 00:00:00.000,,,,,,f107_observed,101.6
solar,2005-03-10 00:00:00.000,,,,,,sunspot_number,66.0
tidal_ephemeris,2005-03-10 00:00:00.000,,,,,,tidal_potential,1.30095
tidal_ephemeris,2005-03-10 00:00:00.000,,,,,,lunar_phase,0.99023
geomagnetic,2005-03-11 00:00:00.000,,,,,,ap,5.0
geomagnetic,2005-03-11 00:00:00.000,,,,,,kp,1.291625
gps,2005-03-11 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.047799
gps,2005-03-11 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.419373
gps,2005-03-11 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.54915
gps,2005-03-11 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.616124
gps,2005-03-11 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.836753
gps,2005-03-11 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.01767
solar,2005-03-11 00:00:00.000,,,,,,f107_observed,104.9
solar,2005-03-11 00:00:00.000,,,,,,sunspot_number,70.0
tidal_ephemeris,2005-03-11 00:00:00.000,,,,,,tidal_potential,1.03864
tidal_ephemeris,2005-03-11 00:00:00.000,,,,,,lunar_phase,0.02347
geomagnetic,2005-03-12 00:00:00.000,,,,,,ap,3.0
geomagnetic,2005-03-12 00:00:00.000,,,,,,kp,0.79175
gps,2005-03-12 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.048091
gps,2005-03-12 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.418704
gps,2005-03-12 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.549148
gps,2005-03-12 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.615466
gps,2005-03-12 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.84124
gps,2005-03-12 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.017011
solar,2005-03-12 00:00:00.000,,,,,,f107_observed,110.1
solar,2005-03-12 00:00:00.000,,,,,,sunspot_number,68.0
tidal_ephemeris,2005-03-12 00:00:00.000,,,,,,tidal_potential,0.70112
tidal_ephemeris,2005-03-12 00:00:00.000,,,,,,lunar_phase,0.05557
geomagnetic,2005-03-13 00:00:00.000,,,,,,ap,5.0
geomagnetic,2005-03-13 00:00:00.000,,,,,,kp,1.20825
gps,2005-03-13 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.048686
gps,2005-03-13 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.418336
gps,2005-03-13 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.550182
gps,2005-03-13 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.61694
gps,2005-03-13 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.844266
gps,2005-03-13 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.013844
solar,2005-03-13 00:00:00.000,,,,,,f107_observed,113.8
solar,2005-03-13 00:00:00.000,,,,,,sunspot_number,68.0
tidal_ephemeris,2005-03-13 00:00:00.000,,,,,,tidal_potential,0.32499
tidal_ephemeris,2005-03-13 00:00:00.000,,,,,,lunar_phase,0.08728
seismic,2005-03-13 04:02:04.720,40.67,-84.62,5.0,2.2,,,
seismic,2005-03-13 17:08:14.000,46.54,-80.98,18.0,3.6,,,
geomagnetic,2005-03-14 00:00:00.000,,,,,,ap,19.0
geomagnetic,2005-03-14 00:00:00.000,,,,,,kp,3.208375
gps,2005-03-14 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.047327
gps,2005-03-14 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.420049
gps,2005-03-14 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.549293
gps,2005-03-14 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.616396
gps,2005-03-14 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.837308
gps,2005-03-14 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.016601
solar,2005-03-14 00:00:00.000,,,,,,f107_observed,111.5
solar,2005-03-14 00:00:00.000,,,,,,sunspot_number,65.0
tidal_ephemeris,2005-03-14 00:00:00.000,,,,,,tidal_potential,-0.05336
tidal_ephemeris,2005-03-14 00:00:00.000,,,,,,lunar_phase,0.11926
geomagnetic,2005-03-15 00:00:00.000,,,,,,ap,4.0
geomagnetic,2005-03-15 00:00:00.000,,,,,,kp,0.958375
gps,2005-03-15 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.047381
gps,2005-03-15 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.419936
gps,2005-03-15 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.551081
gps,2005-03-15 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.61785
gps,2005-03-15 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.834493
gps,2005-03-15 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.009409
solar,2005-03-15 00:00:00.000,,,,,,f107_observed,108.2
solar,2005-03-15 00:00:00.000,,,,,,sunspot_number,60.0
tidal_ephemeris,2005-03-15 00:00:00.000,,,,,,tidal_potential,-0.40375
tidal_ephemeris,2005-03-15 00:00:00.000,,,,,,lunar_phase,0.15197
seismic,2005-03-15 03:13:46.770,36.0791667,-89.4076667,10.18,1.6,,,
seismic,2005-03-15 04:24:17.850,36.8495,-89.2326667,5.06,2.4,,,
geomagnetic,2005-03-16 00:00:00.000,,,,,,ap,6.0
geomagnetic,2005-03-16 00:00:00.000,,,,,,kp,1.54175
gps,2005-03-16 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.046899
gps,2005-03-16 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.419362
gps,2005-03-16 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.550249
gps,2005-03-16 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.616541
gps,2005-03-16 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.835198
gps,2005-03-16 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.011405
solar,2005-03-16 00:00:00.000,,,,,,f107_observed,104.6
solar,2005-03-16 00:00:00.000,,,,,,sunspot_number,45.0
tidal_ephemeris,2005-03-16 00:00:00.000,,,,,,tidal_potential,-0.70461
tidal_ephemeris,2005-03-16 00:00:00.000,,,,,,lunar_phase,0.18564
geomagnetic,2005-03-17 00:00:00.000,,,,,,ap,13.0
geomagnetic,2005-03-17 00:00:00.000,,,,,,kp,2.58325
gps,2005-03-17 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.047205
gps,2005-03-17 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.420549
gps,2005-03-17 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.550533
gps,2005-03-17 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.617181
gps,2005-03-17 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.839307
gps,2005-03-17 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.0134
solar,2005-03-17 00:00:00.000,,,,,,f107_observed,101.7
solar,2005-03-17 00:00:00.000,,,,,,sunspot_number,40.0
tidal_ephemeris,2005-03-17 00:00:00.000,,,,,,tidal_potential,-0.94277
tidal_ephemeris,2005-03-17 00:00:00.000,,,,,,lunar_phase,0.22019
geomagnetic,2005-03-18 00:00:00.000,,,,,,ap,10.0
geomagnetic,2005-03-18 00:00:00.000,,,,,,kp,1.875125
gps,2005-03-18 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.04767
gps,2005-03-18 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.420418
gps,2005-03-18 00:00:00.000,32.782923639,-79.937995334,,,SCCC,east_m,-0.45786
gps,2005-03-18 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.550416
gps,2005-03-18 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.616774
gps,2005-03-18 00:00:00.000,32.782923639,-79.937995334,,,SCCC,north_m,0.727926
gps,2005-03-18 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.838106
gps,2005-03-18 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.014377
gps,2005-03-18 00:00:00.000,32.782923639,-79.937995334,,,SCCC,up_m,-0.384109
solar,2005-03-18 00:00:00.000,,,,,,f107_observed,96.5
solar,2005-03-18 00:00:00.000,,,,,,sunspot_number,40.0
tidal_ephemeris,2005-03-18 00:00:00.000,,,,,,tidal_potential,-1.1118
tidal_ephemeris,2005-03-18 00:00:00.000,,,,,,lunar_phase,0.25521
seismic,2005-03-18 01:02:16.260,35.7225,-84.1636667,9.12,2.7,,,
seismic,2005-03-18 06:42:15.380,36.5155,-89.5356667,6.73,1.8,,,
geomagnetic,2005-03-19 00:00:00.000,,,,,,ap,11.0
geomagnetic,2005-03-19 00:00:00.000,,,,,,kp,1.833375
gps,2005-03-19 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.047694
gps,2005-03-19 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.419845
gps,2005-03-19 00:00:00.000,32.782923639,-79.937995334,,,SCCC,east_m,-0.458272
gps,2005-03-19 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.550474
gps,2005-03-19 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.616864
gps,2005-03-19 00:00:00.000,32.782923639,-79.937995334,,,SCCC,north_m,0.725589
gps,2005-03-19 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.836651
gps,2005-03-19 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.013184
gps,2005-03-19 00:00:00.000,32.782923639,-79.937995334,,,SCCC,up_m,-0.380478
solar,2005-03-19 00:00:00.000,,,,,,f107_observed,93.0
solar,2005-03-19 00:00:00.000,,,,,,sunspot_number,42.0
tidal_ephemeris,2005-03-19 00:00:00.000,,,,,,tidal_potential,-1.21024
tidal_ephemeris,2005-03-19 00:00:00.000,,,,,,lunar_phase,0.29011
geomagnetic,2005-03-20 00:00:00.000,,,,,,ap,4.0
geomagnetic,2005-03-20 00:00:00.000,,,,,,kp,0.8748750000000001
gps,2005-03-20 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.047714
gps,2005-03-20 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.419619
gps,2005-03-20 00:00:00.000,32.782923639,-79.937995334,,,SCCC,east_m,-0.458101
gps,2005-03-20 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.549551
gps,2005-03-20 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.61671
gps,2005-03-20 00:00:00.000,32.782923639,-79.937995334,,,SCCC,north_m,0.725286
gps,2005-03-20 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.834203
gps,2005-03-20 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.012422
gps,2005-03-20 00:00:00.000,32.782923639,-79.937995334,,,SCCC,up_m,-0.377744
solar,2005-03-20 00:00:00.000,,,,,,f107_observed,89.0
solar,2005-03-20 00:00:00.000,,,,,,sunspot_number,40.0
tidal_ephemeris,2005-03-20 00:00:00.000,,,,,,tidal_potential,-1.24008
tidal_ephemeris,2005-03-20 00:00:00.000,,,,,,lunar_phase,0.32426
geomagnetic,2005-03-21 00:00:00.000,,,,,,ap,8.0
geomagnetic,2005-03-21 00:00:00.000,,,,,,kp,1.5831250000000001
gps,2005-03-21 00:00:00.000,36.416615722,-89.458288125,,,NWCC,east_m,-0.045606
gps,2005-03-21 00:00:00.000,36.413471241,-89.69968217,,,PTGV,east_m,0.421595
gps,2005-03-21 00:00:00.000,32.782923639,-79.937995334,,,SCCC,east_m,-0.456783
gps,2005-03-21 00:00:00.000,36.416615722,-89.458288125,,,NWCC,north_m,0.549181
gps,2005-03-21 00:00:00.000,36.413471241,-89.69968217,,,PTGV,north_m,0.615909
gps,2005-03-21 00:00:00.000,32.782923639,-79.937995334,,,SCCC,north_m,0.724681
gps,2005-03-21 00:00:00.000,36.416615722,-89.458288125,,,NWCC,up_m,0.838295
gps,2005-03-21 00:00:00.000,36.413471241,-89.69968217,,,PTGV,up_m,0.015328
gps,2005-03-21 00:00:00.000,32.782923639,-79.937995334,,,SCCC,up_m,-0.372787
solar,2005-03-21 00:00:00.000,,,,,,f107_observed,89.8
solar,2005-03-21 00:00:00.000,,,,,,sunspot_number,48.0
tidal_ephemeris,2005-03-21 00:00:00.000,,,,,,tidal_potential,-1.20587
tidal_ephemeris,2005-03-21 00:00:00.000,,,,,,lunar_phase,0.35718
seismic,2005-03-21 00:27:52.570,37.0765,-88.8531667,12.36,2.0,,,
geomagnetic,2005-03-22 00:00:00.000,,,,,,ap,3.0
geomagnetic,2005-03-22 00:00:00.000,,,,,,kp,0.6666249999999999
